name,match,synonym(s),cultivar,ipen,metadata (line rest),metadata (next lines),raw
Ipomoea hederifolia L,1,,,xx-0-DR-001847,1847 ,[],1847 Ipomoea hederifolia L. xx-0-DR-001847
Ipomoea purpurea L Roth,1,,,xx-0-DR-003267,3267 ,[],3267 Ipomoea purpurea (L.) Roth xx-0-DR-003267
Ipomoea tricolor Cav,1,,,xx-0-DR-004177,4177 ,[],4177 Ipomoea tricolor Cav. xx-0-DR-004177
Juniperus communis L,1,,,DE-0-DR-010194,10194 ,[],10194  Juniperus communis L. DE-0-DR-010194
Cyperus eragrostis Lam,1,,,IT-0-DR-013458,13458 ,[],13458  Cyperus eragrostis Lam. IT-0-DR-013458
Schoenoplectus triqueter L Palla,1,,,xx-0-DR-002359,2359 ,[],2359 Schoenoplectus triqueter (L.) Palla xx-0-DR-002359
Scabiosa prolifera L,1,,,IL-0-DR-008484,8484 ,[],8484  Scabiosa prolifera L. IL-0-DR-008484
Erica spiculifolia Salisb,1,,,RO-0-DR-001489,1489 ,[],1489  Erica spiculifolia Salisb. RO-0-DR-001489
Eucommia ulmoides Oliv,1,,,xx-0-DR-004989,4989 ,[],4989 Eucommia ulmoides Oliv. xx-0-DR-004989
Euphorbia marginata Pursh,1,,,xx-0-DR-004179,4179 ,[],4179 Euphorbia marginata Pursh xx-0-DR-004179
Ricinus communis L,1,,,xx-0-DR-003371,3371 (rotlaubig) ,['6'],3371 Ricinus communis L. (rotlaubig) xx-0-DR-003371
Astragalus onobrychis L,1,,,AT-0-WU-0021025,17534 ,[],17534  Astragalus onobrychis L. AT-0-WU-0021025
Glycine max L Merr,1,,,RU-0-DR-001571,1571 ssp. soja (Sieb. et Zucc.) H. Ohashi ,[],1571  Glycine max (L.) Merr. ssp. soja (Sieb. et Zucc.) H. Ohashi RU-0-DR-001571
Lablab purpureus L Sweet,1,,,xx-0-DR-009755,9755 ,[],9755 Lablab purpureus (L.) Sweet xx-0-DR-009755
Lathyrus rotundifolius Willd,1,,,UA-0-DR-003464,3464 ,[],3464  Lathyrus rotundifolius Willd. UA-0-DR-003464
Ononis natrix L,1,,,xx-0-DR-017597,17597 ,[],17597 Ononis natrix L. xx-0-DR-017597
Senna hebecarpa,1,,,xx-0-DR-010508,10508 (Fern.) Irwin et Barneby ,[],10508 Senna hebecarpa (Fern.) Irwin et Barneby xx-0-DR-010508
Vicia pisiformis L,1,,,CZ-0-DR-008359,8359 ,[],8359  Vicia pisiformis L. CZ-0-DR-008359
Erodium castellanum Pau Guitt,1,,,xx-0-DR-010411,10411 ,[],10411 Erodium castellanum (Pau) Guitt. xx-0-DR-010411
Ramonda myconi L Rchb,1,,,xx-0-DR-003074,3074 ,[],3074 Ramonda myconi (L.) Rchb. xx-0-DR-003074
Ribes rubrum L,1,,,DE-0-DR-013099,13099 ,[],13099  Ribes rubrum L. DE-0-DR-013099
Ornithogalum viridiflorum,1,,,xx-0-DR-006811,6811 (I. Verd.) J.C. Manning et Goldblatt ,[],6811 Ornithogalum viridiflorum (I. Verd.) J.C. Manning et Goldblatt xx-0-DR-006811
Prospero autumnale L Speta,1,,,xx-0-DR-001026,1026 ,[],1026 Prospero autumnale (L.) Speta xx-0-DR-001026
Hypericum coris L,1,,,xx-0-DR-000881,881 ,[],881 Hypericum coris L. xx-0-DR-000881
Hypericum orientale L,1,,,TR-0-DR-013247,13247 ,[],13247  Hypericum orientale L. TR-0-DR-013247
Amethystea caerulea L,1,,,xx-0-DR-004229,4229 ,[],4229 Amethystea caerulea L. xx-0-DR-004229
Dracocephalum moldavica L,1,,,xx-0-DR-002101,2101 ,[],2101 Dracocephalum moldavica L. xx-0-DR-002101
Leonotis nepetifolia,1,,,ZA-0-DR-010138,10138 (L.) R. Br. ,[],10138  Leonotis nepetifolia (L.) R. Br. ZA-0-DR-010138
Leonurus sibiricus L,1,,,xx-0-DR-004687,4687 ,[],4687 Leonurus sibiricus L. xx-0-DR-004687
Salvia pratensis L,1,,,DE-0-DR-001261,1261 ,[],1261  Salvia pratensis L. DE-0-DR-001261
Salvia tomentosa Mill,1,,,GR-0-DR-006728,6728 ,[],6728  Salvia tomentosa Mill. GR-0-DR-006728
Salvia viridis L,1,,,xx-0-DR-002093,2093 var. comata Heldr. ,[],2093 Salvia viridis L. var. comata Heldr. xx-0-DR-002093
Scutellaria albida L,1,,,UA-0-DR-013049,13049 ,[],13049  Scutellaria albida L. UA-0-DR-013049
Teucrium hircanicum L,1,,,IR-0-P-2016g113,18041 ,[],18041  Teucrium hircanicum L. IR-0-P-2016g113
Akebia quinata Houtt Decne,1,,,xx-0-DR-012179,12179 ,[],12179 Akebia quinata (Houtt.) Decne. xx-0-DR-012179
Aosa rupestris Gardner Weigend,1,,,BR-0-ULM-2010-G-40,18107 ,[],18107  Aosa rupestris (Gardner) Weigend BR-0-ULM-2010-G-40
Blumenbachia hieronymi,1,,,xx-0-DR-008829,8829 Urban ,[],8829 Blumenbachia hieronymi Urban xx-0-DR-008829
Blumenbachia insignis Schrad,1,,,xx-0-DR-008828,8828 ,[],8828 Blumenbachia insignis Schrad. xx-0-DR-008828
Caiophora lateritia,1,,,xx-0-DR-00897,8972 (Hook. f.) Klotzsch ,[],8972 Caiophora lateritia (Hook. f.) Klotzsch xx-0-DR-00897
Lythrum virgatum L,1,,,HU-0-DR-007162,7162 ,[],7162  Lythrum virgatum L. HU-0-DR-007162
Magnolia virginiana L,1,,,xx-0-DR-007209,7209 ,['7'],7209 Magnolia virginiana L. xx-0-DR-007209
Abelmoschus manihot L Medik,1,,,xx-0-DR-004116,4116 ,[],4116 Abelmoschus manihot (L.) Medik. xx-0-DR-004116
