name,match,synonym(s),cultivar,ipen,metadata (line rest),metadata (next lines),raw
Acacia longifolia Andrews Willd,1,,,AU-0-DR-014135,14135 ,[],14135  Acacia longifolia (Andrews) Willd. AU-0-DR-014135
Clitoria ternatea L,1,,,xx-0-DR-016166,16166 ,[],16166 Clitoria ternatea L. xx-0-DR-016166
Neptunia plena L Benth,1,,,xx-0-DR-004754,4754 ,[],4754 Neptunia plena (L.) Benth. xx-0-DR-004754
Psoralea glandulosa L,1,,,CL-0-DR-013685,13685 ,[],13685  Psoralea glandulosa L. CL-0-DR-013685
Frankenia laevis L,1,,,xx-0-DR-008494,8494 ,[],8494 Frankenia laevis L. xx-0-DR-008494
Rhynchoglossum gardneri,1,,,xx-0-DR-004708,4708 W.L. Theob. et Gruppe ,[],4708 Rhynchoglossum gardneri W.L. Theob. et Gruppe xx-0-DR-004708
Hydrolea spinosa L,1,,,xx-0-STGAL-43/1999,15302 ,[],15302 Hydrolea spinosa L. xx-0-STGAL-43/1999
Gladiolus tristis L,1,,,xx-0-DR-017244,17244 ,[],17244 Gladiolus tristis L. xx-0-DR-017244
Lapeirousia jacquinii,1,,,xx-0-DR-017358,17358 N.E. Br. ,[],17358  Lapeirousia jacquinii N.E. Br. xx-0-DR-017358
Moraea britteniae,1,,,xx-0-DR-017355,17355 (L. Bolus) Goldblatt ,[],17355 Moraea britteniae (L. Bolus) Goldblatt xx-0-DR-017355
Moraea pendula Goldblatt Goldblatt,1,,,xx-0-DR-017351,17351 ,[],17351  Moraea pendula (Goldblatt) Goldblatt xx-0-DR-017351
Neolitsea sericea Blume Koidz,1,,,JP-0-DR-014065,14065 ,[],14065  Neolitsea sericea (Blume) Koidz. JP-0-DR-014065
Eucnide bartonioides Zucc,1,,,xx-0-DR-013902,13902 ,[],13902 Eucnide bartonioides Zucc. xx-0-DR-013902
Monolena primuliflora Hook,1,,,EC-0-DR-001330,1330 f. ,[],1330  Monolena primuliflora Hook. f. EC-0-DR-001330
Turraea heterophylla Sm,1,,,xx-0-DR-003233,3233 ,['12'],3233 Turraea heterophylla Sm. xx-0-DR-003233
Fuchsia decidua Standl,1,,,MX-0-TUEB-396,17303 ,[],17303  Fuchsia decidua  Standl. MX-0-TUEB-396
Argemone rosea Hook,1,,,CL-0-DR-010468,10468 ,[],10468  Argemone rosea Hook. CL-0-DR-010468
Passiflora herbertiana KerGawl,1,,,AU-0-DR-007206,7206 ,[],7206  Passiflora herbertiana Ker-Gawl. AU-0-DR-007206
Hilleria latifolia Lam H Walter,1,,,xx-0-DR-015216,15216 ,[],15216 Hilleria latifolia (Lam.) H. Walter xx-0-DR-015216
Roridula gorgonias Planch,1,,,xx-0-DR-016911,16911 ,[],16911 Roridula gorgonias Planch. xx-0-DR-016911
Dermatobotrys saundersii,1,,,xx-0-DR-017776,17776 H. Bol. ,[],17776 Dermatobotrys saundersii H. Bol. xx-0-DR-017776
Simmondsia chinensis Link CK Schneid,1,,,xx-0-DR-008166,8166 ,[],8166 Simmondsia chinensis (Link) C.K. Schneid. xx-0-DR-008166
Tacca chantrieri Andr,1,,,xx-0-DR-003260,3260 é ,[],3260 Tacca chantrieri André xx-0-DR-003260
Tacca plantaginea Hance Drenth,1,,,xx-0-DR-014176,14176 ,[],14176 Tacca plantaginea (Hance) Drenth xx-0-DR-014176
Cyphostemma juttae,1,,,xx-0-DR-004739,4739 (Dinter et Gilg) Desc. ,[],4739 Cyphostemma juttae (Dinter et Gilg) Desc. xx-0-DR-004739
Aframomum daniellii,1,,,xx-0-DR-001872,1872 (Hook. f.) K. Schum. ,[],1872 Aframomum daniellii (Hook. f.) K. Schum. xx-0-DR-001872
Globba marantina L,1,,,xx-0-DR-011567,11567 ,[],11567 Globba marantina L. xx-0-DR-011567
Hedychium coccineum BuchHam ex Sm,1,,,xx-0-DR-004737,4737 ,[],4737 Hedychium coccineum Buch.-Ham. ex Sm. xx-0-DR-004737
Hedychium horsfieldii,1,,,xx-0-DR-004738,4738 R. Br. ex Wall. ,"['13', 'SAMEN VON WILDSTANDORTEN', 'Seeds collected in the wild', 'Graines collectionées dans la nature']",4738 Hedychium horsfieldii R. Br. ex Wall. xx-0-DR-004738
Arum maculatum L,1,,,DE-0-DR-018052,18052 ,"['Deutschland, Nordrhein-Westfalen, Minden, Wald am Verbindungskanal', 'Nord nahe der Schachtschleuse, 52°18´27.1´´ N, 8°55´09.1´´ O (B.D.)']",18052  Arum maculatum L. DE-0-DR-018052
Tragopogon dubius Scop,1,,,DE-0-DR-018109,18109 ssp. major (Jacq.) Vollm. ,"['Deutschland, Sachsen, Pratzschwitz, Ortslage, Wiese, 50°58´28´´ N,', '13°53´43´´ O (K.M.)']",18109  Tragopogon dubius Scop. ssp. major (Jacq.) Vollm. DE-0-DR-018109
Plantago maritima L,1,,,DE-0-DR-018108,18108 ,"['Deutschland, Niedersachsen, Cuxhaven, Strand, 53°52´650´´ N,', '8°41´060´´ O (E.G., C.P.)', 'Sammler / collectors:', 'B.D. B. Ditsch', 'E.G. E. Göbel']",18108  Plantago maritima L. DE-0-DR-018108
